Overlap,Segment Size,Overlap Ratio,K Value,Classifier,Accuracy
FALSE,48,N/A,40,rf,0.785714286
FALSE,96,N/A,40,rf,0.732142857
FALSE,192,N/A,40,rf,0.767857143
FALSE,48,N/A,120,rf,0.744047619
FALSE,96,N/A,120,rf,0.767857143
FALSE,192,N/A,120,rf,0.755952381
FALSE,48,N/A,240,rf,0.773809524
FALSE,192,N/A,240,rf,0.708333333
FALSE,48,N/A,480,rf,0.732142857
FALSE,96,N/A,480,rf,0.744047619
FALSE,48,N/A,1000,rf,0.68452381
FALSE,48,N/A,40,svm,0.755952381
FALSE,96,N/A,40,svm,0.732142857
FALSE,192,N/A,40,svm,0.714285714
FALSE,48,N/A,120,svm,0.720238095
FALSE,96,N/A,120,svm,0.69047619
FALSE,192,N/A,120,svm,0.738095238
FALSE,48,N/A,240,svm,0.702380952
FALSE,192,N/A,240,svm,0.726190476
FALSE,48,N/A,480,svm,0.708333333
FALSE,96,N/A,480,svm,0.75
FALSE,48,N/A,1000,svm,0.726190476
TRUE,48,0.2,40,rf,0.785714286
TRUE,48,0.5,40,rf,0.791666667
TRUE,48,0.8,40,rf,0.785714286
TRUE,96,0.2,40,rf,0.738095238
TRUE,96,0.5,40,rf,0.80952381
TRUE,96,0.8,40,rf,0.797619048
TRUE,192,0.2,40,rf,0.773809524
TRUE,192,0.5,40,rf,0.785714286
TRUE,192,0.8,40,rf,0.791666667
TRUE,48,0.2,120,rf,0.744047619
TRUE,48,0.5,120,rf,0.80952381
TRUE,48,0.8,120,rf,0.779761905
TRUE,96,0.2,120,rf,0.714285714
TRUE,96,0.5,120,rf,0.827380952
TRUE,96,0.8,120,rf,0.803571429
TRUE,192,0.2,120,rf,0.75
TRUE,192,0.5,120,rf,0.797619048
TRUE,192,0.8,120,rf,0.791666667
TRUE,48,0.2,240,rf,0.797619048
TRUE,48,0.5,240,rf,0.803571429
TRUE,48,0.8,240,rf,0.779761905
TRUE,96,0.2,240,rf,0.732142857
TRUE,96,0.5,240,rf,0.755952381
TRUE,96,0.8,240,rf,0.821428571
TRUE,192,0.2,240,rf,0.666666667
TRUE,192,0.5,240,rf,0.803571429
TRUE,192,0.8,240,rf,0.833333333
TRUE,48,0.2,480,rf,0.75
TRUE,48,0.5,480,rf,0.785714286
TRUE,48,0.8,480,rf,0.779761905
TRUE,96,0.2,480,rf,0.732142857
TRUE,96,0.5,480,rf,0.803571429
TRUE,96,0.8,480,rf,0.791666667
TRUE,192,0.2,480,rf,0.732142857
TRUE,192,0.5,480,rf,0.767857143
TRUE,192,0.8,480,rf,0.803571429
TRUE,48,0.2,1000,rf,0.732142857
TRUE,48,0.5,1000,rf,0.767857143
TRUE,48,0.8,1000,rf,0.803571429
TRUE,96,0.2,1000,rf,0.678571429
TRUE,96,0.5,1000,rf,0.785714286
TRUE,96,0.8,1000,rf,0.779761905
TRUE,192,0.2,1000,rf,0.708333333
TRUE,192,0.8,1000,rf,0.80952381
TRUE,48,0.2,40,svm,0.708333333
TRUE,48,0.5,40,svm,0.744047619
TRUE,48,0.8,40,svm,0.523809524
TRUE,96,0.2,40,svm,0.630952381
TRUE,96,0.5,40,svm,0.755952381
TRUE,96,0.8,40,svm,0.476190476
TRUE,192,0.2,40,svm,0.726190476
TRUE,192,0.5,40,svm,0.779761905
TRUE,192,0.8,40,svm,0.821428571
TRUE,48,0.2,120,svm,0.702380952
TRUE,48,0.5,120,svm,0.779761905
TRUE,48,0.8,120,svm,0.672619048
TRUE,96,0.2,120,svm,0.738095238
TRUE,96,0.5,120,svm,0.785714286
TRUE,96,0.8,120,svm,0.714285714
TRUE,192,0.2,120,svm,0.726190476
TRUE,192,0.5,120,svm,0.785714286
TRUE,192,0.8,120,svm,0.803571429
TRUE,48,0.2,240,svm,0.68452381
TRUE,48,0.5,240,svm,0.791666667
TRUE,48,0.8,240,svm,0.68452381
TRUE,96,0.2,240,svm,0.678571429
TRUE,96,0.5,240,svm,0.767857143
TRUE,96,0.8,240,svm,0.738095238
TRUE,192,0.2,240,svm,0.666666667
TRUE,192,0.5,240,svm,0.785714286
TRUE,192,0.8,240,svm,0.827380952
TRUE,48,0.2,480,svm,0.75
TRUE,48,0.5,480,svm,0.761904762
TRUE,48,0.8,480,svm,0.726190476
TRUE,96,0.2,480,svm,0.69047619
TRUE,96,0.5,480,svm,0.755952381
TRUE,96,0.8,480,svm,0.767857143
TRUE,192,0.2,480,svm,0.779761905
TRUE,192,0.5,480,svm,0.833333333
TRUE,192,0.8,480,svm,0.81547619
TRUE,48,0.2,1000,svm,0.761904762
TRUE,48,0.5,1000,svm,0.797619048
TRUE,48,0.8,1000,svm,0.767857143
TRUE,96,0.2,1000,svm,0.755952381
TRUE,96,0.5,1000,svm,0.785714286
TRUE,96,0.8,1000,svm,0.791666667
TRUE,192,0.2,1000,svm,0.732142857
TRUE,192,0.8,1000,svm,0.857142857
